提出日,確定状況,編集日,,Idマージ　自動転記,L1-ID,L2-ID,L3-ID,L4-ID,L5-ID,L6-ID,分類 ID,新規追加,新規追加,LV,L1,L2,L3,L4,L5,L6,XA3A移行数,XA3P移行数,画像挿入,自動転記の為入力不要,,英語文字数,K列からの自動転記,,,,,,,,,,,,,,,,,,,分類属性No1,,,分類属性No2,,,分類属性No3,,,分類属性No4,,,分類属性No5,,,分類属性No6,,,分類属性No7,,,分類属性No8,,,分類属性No9,,,分類属性No10,,,分類属性No11,,,分類属性　TOP,,,,,,,
NSSOL提出日,確定状況,確定日,品名タイプ,並べ替え用ID,L1-ID,L2-ID,L3-ID,L4-ID,L5-ID,L6-ID,PLM ID,品名ID,語彙マスタID,Lv,L1-J,L2-J,L3-J,L4-J,L5-J,L6-J,XA3A移行数,XA3P移行数,アイコン画像,最下層名称　日本語（Japanese）,最下層名称　マスタ（master),英B数,内部名,DFK辞典,分類ツリー　英語（US)　English United States,分類ツリー　英語(UK)　English United Kingdom,分類ツリー　韓国語　Korean,分類ツリー 中国語簡体　Chinese China,分類ツリー 中国語繁体　Chinese Taiwan,GL勘定コード,分類/品名,部品分類,規格化対象,ケーブルASSYの有無,納品WTP,品目WTP,名称分類,品名説明,具体的な製品の用途例,品名及び分類属性に対しての懸念,主な部品メーカー,ID-1,分類属性-1,分類属性値-1,ID-2,分類属性-2,分類属性値-2,ID-3,分類属性-3,分類属性値-3,ID-4,分類属性-4,分類属性値-4,ID-5,分類属性-5,分類属性値-5,ID-6,分類属性-6,分類属性値-6,ID-7,分類属性-7,分類属性値-7,ID-8,分類属性-8,分類属性値-8,ID-9,分類属性-9,分類属性値-9,ID-10,分類属性-10,分類属性値-10,ID-11,分類属性-11,分類属性値-11,ID-TOP,分類属性-TOP,分類属性値-TOP,付与ID,言語種類,最下層名称の読み方　カタカナ,日本語頭文字,略語の正式名称
2022/5/9,再確定,5/9,分類＝品名,004_001_005_001,004,001,005,001,,,662,662,SV,4,機械部品,動力発生機器部品,ソレノイド,ロータリソレノイド,,,2,,,ロータリソレノイド,ROTARY_SOLENOID,15,0662,DFK辞典なし,,,ROTARY_SOLENOID,,,,品名,カタログ購入品&DFK仕様有,コンテンツセンタ登録なし,ケーブルASSY有,,品目,一般用語,電磁力で２点間回転運動を発生させる機器。,,,タカノ,89,電源電圧(V),実数値,,,,,,,,,,,,,,,,,,,,,,673,DAIFUKU特注仕様の有無,"有,無",,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",662,カタカナのみ,ロータリソレノイド,ロ,
2021/5/10,確定,4/13,分類＝品名,004_001_005_002,004,001,005,002,,,663,663,SV,4,機械部品,動力発生機器部品,ソレノイド,直動ソレノイド,,,,,,直動ソレノイド,LINEAR_SOLENOID,15,0663,DFK辞典なし,,,LINEAR_SOLENOID,,,,品名,カタログ購入品&DFK仕様有,コンテンツセンタ登録なし,ケーブルASSY有,,品目,一般用語,電磁力で２点間直線運動を発生させる機器。,,,タカノ,89,電源電圧(V),実数値,158,ストローク(mm),実数値,,,,,,,,,,,,,,,,,,,673,DAIFUKU特注仕様の有無,"有,無",,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",663,漢字+カタカナ,チョクドウソレノイド,チ,
2021/12/7,確定,12/2,分類＝品名,004_001_006,004,001,006,,,,1536,1536,SV,3,機械部品,動力発生機器部品,エアシリンダ,,,,22,,,エアシリンダ,AIR_CYLINDER,12,1536,エアシリンダ,,,AIR_CYLINDER,,,,品名,カタログ購入品,コンテンツセンタ登録なし,,,品目,一般用語,エアで動作する直動のシリンダ,,,SMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",1536,カタカナのみ,エアシリンダ,エ,
2021/12/16,確定,12/16,分類＝品名,004_001_006,004,001,006,,,,1547,1547,SV,3,機械部品,動力発生機器部品,真空ポンプ,,,,1,,,真空ポンプ,VACUUM_PUMP,11,1547,真空ポンプ,,,VACUUM_PUMP,,,,品名,カタログ購入品,コンテンツセンタ登録なし,,,品目,一般用語,真空ポンプ　CRでは主には使用しない。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",1547,漢字+カタカナ,シンクウポンプ,シ,
2021/5/10,確定,4/13,分類,004_002,004,002,,,,,637,637,SV,2,機械部品,動力変換伝達部品,,,,,,,,動力変換伝達部品,POWER_CONVERSION_TRANSMISSION_PARTS,35,0637,DFK辞典なし,,,POWER_CONVERSION_TRANSMISSION_PARTS,,,,分類,カタログ購入品＆製作部品,コンテンツセンタ登録なし,,,品目,DFK用語,動力の方向を変換、伝達するための機械部品,,,"住重,椿本,THK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",,漢字のみ,ドウリョクヘンカンデンタツブヒン,ド,
2022/5/26,再確定,5/26,分類＝品名,004_002_001,004,002,001,,,,680,680,SV,3,機械部品,動力変換伝達部品,減速機,,,,9,,,減速機,REDUCER,7,0680,減速機,,,REDUCER,?速机,減速機,,品名,カタログ購入品&DFK仕様有,コンテンツセンタ登録なし,,,品目,一般用語,回転速度をギヤを使用して落とす装置。モータに接続する電動タイプやハンドルで廻す手動タイプがある。,,,"住重,椿本,富士変速機",622,減速機タイプ１,"直行軸,平行軸,同芯軸",654,減速機タイプ２,"平行軸歯車型,ヘリカル型,ベベルギヤ型,ハイポイド型,ウォーム型,サイクロ型,ハーモニック型,ボール型,遊星型,ボールネジ内臓型,その他",55,減速比,実数値,200,減速機取付方法,"フランジ式,脚式,DFK特注式",274,減速機潤滑材,"グリース潤滑,オイル潤滑",,,,,,,,,,673,DAIFUKU特注仕様の有無,"有,無",,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",680,漢字のみ,ゲンソクキ,ゲ,
2021/5/10,確定,4/13,分類,004_002_002,004,002,002,,,,638,638,SV,3,機械部品,動力変換伝達部品,動力変換部品,,,,,,,動力変換部品,POWER_CONVERSION_PARTS,22,0638,DFK辞典なし,,,POWER_CONVERSION_PARTS,,,,分類,カタログ購入品＆製作部品,コンテンツセンタ登録なし,,,品目,DFK用語,回転方向の動力を直線方向の動作に変換するための部品,,,THK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",,漢字のみ,ドウリョクヘンカンブヒン,ド,
2022/5/12,再確定,5/12,分類＝品名,004_002_002_001,004,002,002,001,,,640,640,SV,4,機械部品,動力変換伝達部品,動力変換部品,ボールねじ,,,13,2,,ボールねじ,BALL_SCREW,10,0640,DFK辞典なし,,,BALL_SCREW,,,,品名,カタログ購入品加工,コンテンツセンタ登録なし,,,品目,一般用語,転動面にボールが内蔵されたネジ,,,THK,134,軸径1(mm),実数値,137,リード(mm),実数値,717,移動ストローク(mm),実数値,273,ねじ巻き方向,"右ネジ,左ネジ,右左一体",646,ボールネジ加工タイプ,"転造,研削",,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",640,カタカナ+ひらがな,ボールネジ,ボ,
2022/5/12,再確定,5/12,分類＝品名,004_002_002_002,004,002,002,002,,,141,141,SV,4,機械部品,動力変換伝達部品,動力変換部品,ボールねじスプライン,,,,,,ボールねじスプライン,BALL_SCREW_SPLINE,17,0141,DFK辞典なし,,,BALL_SCREW_SPLINE,,,,品名,カタログ購入品加工,コンテンツセンタ登録なし,,,品目,一般用語,ボールネジとスプラインが一体になった部品,,,THK,134,軸径1(mm),実数値,137,リード(mm),実数値,717,移動ストローク(mm),実数値,273,ねじ巻き方向,"右ネジ,左ネジ,右左一体",,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",141,カタカナ+ひらがな,ボールネジスプライン,ボ,
2022/5/12,再確定,5/12,分類＝品名,004_002_002_003,004,002,002,003,,,1021,1021,SV,4,機械部品,動力変換伝達部品,動力変換部品,ボールねじサポートユニット,,,14,,,ボールねじサポートユニット,BALL_SCREW_SUPPORT_UNIT,23,1021,DFK辞典なし,,,BALL_SCREW_SUPPORT_UNIT,,,,品名,カタログ購入品,コンテンツセンタ登録なし,,,品目,一般用語,ボールネジの両端を支持する部品,,,THK,427,ユニット形状,"丸型,角型",428,取付,"固定側,支持側",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",1021,カタカナ+ひらがな,ボールネジサポートユニット,ボ,
