提出日,確定状況,編集日,,Idマージ　自動転記,L1-ID,L2-ID,L3-ID,L4-ID,L5-ID,L6-ID,分類 ID,新規追加,新規追加,LV,L1,L2,L3,L4,L5,L6,XA3A移行数,XA3P移行数,画像挿入,自動転記の為入力不要,,英語文字数,K列からの自動転記,,,,,,,,,,,,,,,,,,,分類属性No1,,,分類属性No2,,,分類属性No3,,,分類属性No4,,,分類属性No5,,,分類属性No6,,,分類属性No7,,,分類属性No8,,,分類属性No9,,,分類属性No10,,,分類属性No11,,,分類属性　TOP,,,,,,,
NSSOL提出日,確定状況,確定日,品名タイプ,並べ替え用ID,L1-ID,L2-ID,L3-ID,L4-ID,L5-ID,L6-ID,PLM ID,品名ID,語彙マスタID,Lv,L1-J,L2-J,L3-J,L4-J,L5-J,L6-J,XA3A移行数,XA3P移行数,アイコン画像,最下層名称　日本語（Japanese）,最下層名称　マスタ（master),英B数,内部名,DFK辞典,分類ツリー　英語（US)　English United States,分類ツリー　英語(UK)　English United Kingdom,分類ツリー　韓国語　Korean,分類ツリー 中国語簡体　Chinese China,分類ツリー 中国語繁体　Chinese Taiwan,GL勘定コード,分類/品名,部品分類,規格化対象,ケーブルASSYの有無,納品WTP,品目WTP,名称分類,品名説明,具体的な製品の用途例,品名及び分類属性に対しての懸念,主な部品メーカー,ID-1,分類属性-1,分類属性値-1,ID-2,分類属性-2,分類属性値-2,ID-3,分類属性-3,分類属性値-3,ID-4,分類属性-4,分類属性値-4,ID-5,分類属性-5,分類属性値-5,ID-6,分類属性-6,分類属性値-6,ID-7,分類属性-7,分類属性値-7,ID-8,分類属性-8,分類属性値-8,ID-9,分類属性-9,分類属性値-9,ID-10,分類属性-10,分類属性値-10,ID-11,分類属性-11,分類属性値-11,ID-TOP,分類属性-TOP,分類属性値-TOP,付与ID,言語種類,最下層名称の読み方　カタカナ,日本語頭文字,略語の正式名称
2022/5/26,登録しない,5/26,品名推奨LIST,005_117_002_001_011,005,117,002,001,011,,402,R402,SV,5,電気制御部品,制御装置,産業用ネットワーク,CC-Link,CC-Link BIT分散IOターミナル,,,,,CC-Link BIT分散IOターミナル,CC-Link_BIT_DISTRIBUTION_IO_TERMINAL,36,0402,DFK辞典なし,,,CC-Link_BIT_DISTRIBUTION_IO_TERMINAL,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,CC-LinkシステムのデジタルI/Oです。各種のI/Oターミナルを必要な場所に必要なだけ取り付けが可能である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",424,漢字+カタカナ+英語++ハイフン+スペース,CC-Link BITブンサンIOターミナル,C,
2022/5/13,登録しない,5/13,品名推奨LIST,005_117_002_001_012,005,117,002,001,012,,434,R434,SV,5,電気制御部品,制御装置,産業用ネットワーク,CC-Link,CC-Link 通信ケーブル,,,,,CC-Link 通信ケーブル,CC-Link_COMMUNICATION_CABLE,27,0434,DFK辞典なし,,,CC-Link_COMMUNICATION_CABLE,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,CC-Link ネットワーク用の通信ケーブル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",424,漢字+カタカナ+英語++ハイフン+スペース,CC-Link ツウシンケーブル,C,
2022/5/13,再確定,5/13,品名任意,005_117_002_002,005,117,002,002,,,405,405,SV,4,電気制御部品,制御装置,産業用ネットワーク,AS-i,,,62,,,AS-i,AS-i_PARTS,10,0405,DFK辞典なし,,,AS-i_PARTS,,,,品名,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",405,英語+ハイフン,AS-i,A,
2022/5/13,登録しない,5/13,品名推奨LIST,005_117_002_002_001,005,117,002,002,001,,406,R406,SV,5,電気制御部品,制御装置,産業用ネットワーク,AS-i,AS-i アドレス設定ユニット,,,,,AS-i アドレス設定ユニット,AS-i_ADDRESS_SETTING_UNIT,25,0406,DFK辞典なし,,,AS-i_ADDRESS_SETTING_UNIT,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,AS-i子局のアドレス設定、プログラミング、データおよびパラメーターの読取/書込などを行うための装置,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",405,漢字+カタカナ+英語++ハイフン+スペース,AS-i アドレスセッテイユニット,A,
2022/5/13,登録しない,5/13,品名推奨LIST,005_117_002_002_002,005,117,002,002,002,,407,R407,SV,5,電気制御部品,制御装置,産業用ネットワーク,AS-i,AS-i アナライザ,,,,,AS-i アナライザ,AS-i_ANALYZER,13,0407,DFK辞典なし,,,AS-i_ANALYZER,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,AS-iバス施工時の配線や取り付け等の施工品質の確認に使用する。またトラブルシューティング時にも使用する。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",405,カタカナ+英語+ハイフン+スペース,AS-i アナライザ,A,
2022/5/26,登録しない,5/26,品名推奨LIST,005_117_002_002_003,005,117,002,002,003,,408,R408,SV,5,電気制御部品,制御装置,産業用ネットワーク,AS-i,AS-i インタフェーススプリッタボックス,,,,,AS-i インタフェーススプリッタボックス,AS-i_INTERFACE_SPLITTER_BOX,27,0408,DFK辞典なし,,,AS-i_INTERFACE_SPLITTER_BOX,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,AS-iネットワークにセンサ及びアクチュエータを接続するときに使用する。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",405,カタカナ+英語+ハイフン+スペース,AS-i インタフェーススプリッタボックス,A,
2022/5/13,登録しない,5/13,品名推奨LIST,005_117_002_002_004,005,117,002,002,004,,409,R409,SV,5,電気制御部品,制御装置,産業用ネットワーク,AS-i,AS-i インタフェース電源ユニット,,,,,AS-i インタフェース電源ユニット,AS-i_INTERFACE_POWER_SUPPLY_UNIT,32,0409,DFK辞典なし,,,AS-i_INTERFACE_POWER_SUPPLY_UNIT,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,AS-I用の電源ユニット。AS-iケーブルに信号が重畳されているので、信号と電源とは電気的に切り離される機能を有している。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",405,漢字+カタカナ+英語++ハイフン+スペース,AS-i インタフェースデンゲンユニット,A,
2022/5/13,登録しない,5/13,品名推奨LIST,005_117_002_002_005,005,117,002,002,005,,410,R410,SV,5,電気制御部品,制御装置,産業用ネットワーク,AS-i,AS-i エンドシール,,,,,AS-i エンドシール,AS-i_END_SEAL,13,0410,DFK辞典なし,,,AS-i_END_SEAL,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,AS-iネットワークケーブルの端面に取り付けるカバー。短絡を防止する。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",405,カタカナ+英語+ハイフン+スペース,AS-i エンドシール,A,
2022/5/13,登録しない,5/13,品名推奨LIST,005_117_002_002_006,005,117,002,002,006,,411,R411,SV,5,電気制御部品,制御装置,産業用ネットワーク,AS-i,AS-i ゲートウェイ,,,,,AS-i ゲートウェイ,AS-i_GATEWAY,12,0411,DFK辞典なし,,,AS-i_GATEWAY,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,AS-iネットワークと他のネットワークシステムの接続に使用する中継ユニット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",405,カタカナ+英語+ハイフン+スペース,AS-i ゲートウェイ,A,
2022/5/13,登録しない,5/13,品名推奨LIST,005_117_002_002_007,005,117,002,002,007,,412,R412,SV,5,電気制御部品,制御装置,産業用ネットワーク,AS-i,AS-i コントローラ,,,,,AS-i コントローラ,AS-i_CONTROLLER,15,0412,DFK辞典なし,,,AS-i_CONTROLLER,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,AS-iネットワークの親局となる機器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",405,カタカナ+英語+ハイフン+スペース,AS-i コントローラ,A,
2022/5/13,登録しない,5/13,品名推奨LIST,005_117_002_002_008,005,117,002,002,008,,413,R413,SV,5,電気制御部品,制御装置,産業用ネットワーク,AS-i,AS-i スタックライト,,,,,AS-i スタックライト,AS-i_STACK_LIGHT,16,0413,DFK辞典なし,,,AS-i_STACK_LIGHT,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,AS-iネットワークに直接接続可能な表示灯。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",405,カタカナ+英語+ハイフン+スペース,AS-i スタックライト,A,
2022/5/13,登録しない,5/13,品名推奨LIST,005_117_002_002_009,005,117,002,002,009,,414,R414,SV,5,電気制御部品,制御装置,産業用ネットワーク,AS-i,AS-i モジュール,,,,,AS-i モジュール,AS-i_MODULE,11,0414,DFK辞典なし,,,AS-i_MODULE,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,AS-iネットワークの子局の機器のこと。,,スレーブを英訳する際に注意が必要,,480,DI点数,"１～７,８～１５,１６～２３,２４～３１,３２～３９,４０～４７,４８～５５,５６～６３,６４～７１,７２～７９,８０以上",481,DO点数,"１～７,８～１５,１６～２３,２４～３１,３２～３９,４０～４７,４８～５５,５６～６３,６４～７１,７２～７９,８０以上",408,入力デバイス回路仕様,"NPN,PNP,アナログ",409,出力デバイス回路仕様,"NPN,PNP,接点",,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",405,カタカナ+英語+ハイフン+スペース,AS-i モジュール,A,
2022/5/13,登録しない,5/13,品名推奨LIST,005_117_002_002_010,005,117,002,002,010,,415,R415,SV,5,電気制御部品,制御装置,産業用ネットワーク,AS-i,AS-i モジュール固定台,,,,,AS-i モジュール固定台,AS-i_MODULE_FIXING_BASE,23,0415,DFK辞典なし,,,AS-i_MODULE_FIXING_BASE,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,AS-iスレーブを機械的に固定する部品のこと。,,スレーブを英訳する際に注意が必要,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",405,カタカナ+英語+ハイフン+スペース,AS-i モジュールコテイダイ,A,
2022/5/26,登録しない,5/26,品名推奨LIST,005_117_002_002_011,005,117,002,002,011,,416,R416,SV,5,電気制御部品,制御装置,産業用ネットワーク,AS-i,AS-i セーフティモジュール,,,,,AS-i セーフティモジュール,AS-i_SAFETY_MODULE,18,0416,DFK辞典なし,,,AS-i_SAFETY_MODULE,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,AS-iネットワークのセーフティコントローラに対応した子局の機器のこと。,,スレーブを英訳する際に注意が必要,,480,DI点数,"１～７,８～１５,１６～２３,２４～３１,３２～３９,４０～４７,４８～５５,５６～６３,６４～７１,７２～７９,８０以上",481,DO点数,"１～７,８～１５,１６～２３,２４～３１,３２～３９,４０～４７,４８～５５,５６～６３,６４～７１,７２～７９,８０以上",408,入力デバイス回路仕様,"NPN,PNP,アナログ",409,出力デバイス回路仕様,"NPN,PNP,接点",,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",405,カタカナ+英語+ハイフン+スペース,AS-i セーフティモジュール,A,
2022/5/13,登録しない,5/13,品名推奨LIST,005_117_002_002_012,005,117,002,002,012,,417,R417,SV,5,電気制御部品,制御装置,産業用ネットワーク,AS-i,AS-i セーフティモニタ,,,,,AS-i セーフティモニタ,AS-i_SAFETY_MONITOR,19,0417,DFK辞典なし,,,AS-i_SAFETY_MONITOR,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,AS-iネットワーク経由で安全信号の状態をモニタする機器。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",405,カタカナ+英語+ハイフン+スペース,AS-i セーフティモニタ,A,
2022/5/13,登録しない,5/13,品名推奨LIST,005_117_002_002_013,005,117,002,002,013,,418,R418,SV,5,電気制御部品,制御装置,産業用ネットワーク,AS-i,AS-i セーフティモニタケーブル,,,,,AS-i セーフティモニタケーブル,AS-i_SAFETY_MONITOR_JUNCTION_CABLE,34,0418,DFK辞典なし,,,AS-i_SAFETY_MONITOR_JUNCTION_CABLE,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,AS-i セーフティモニタ用の接続ケーブル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",405,カタカナ+英語+ハイフン+スペース,AS-i セーフティモニタケーブル,A,
2022/5/13,登録しない,5/13,品名推奨LIST,005_117_002_002_016,005,117,002,002,016,,421,R421,SV,5,電気制御部品,制御装置,産業用ネットワーク,AS-i,AS-i リピータ,,,,,AS-i リピータ,AS-i_REPEATER,13,0421,DFK辞典なし,,,AS-i_REPEATER,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,AS-iネットワークの延長や分岐など拡張する場合に使用する中継ユニット,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",405,カタカナ+英語+ハイフン+スペース,AS-i リピータ,A,
2022/5/13,登録しない,5/13,品名推奨LIST,005_117_002_002_017,005,117,002,002,017,,422,R422,SV,5,電気制御部品,制御装置,産業用ネットワーク,AS-i,AS-i 非常停止押しボタンスイッチ,,,,,AS-i 非常停止押しボタンスイッチ,AS-i_EMERGENCY_STOP_PUSHBUTTON_SWITCH,37,0422,DFK辞典なし,,,AS-i_EMERGENCY_STOP_PUSHBUTTON_SWITCH,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,AS-iネットワークに直接接続可能な非常停止押しボタンスイッチ。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",405,カタカナ+英語+ハイフン+スペース,AS-i ヒジョウテイシオシボタンスイッチ,A,
2022/5/13,登録しない,5/13,品名推奨LIST,005_117_002_002_018,005,117,002,002,018,,423,R423,SV,5,電気制御部品,制御装置,産業用ネットワーク,AS-i,AS-i 分岐コネクタ,,,,,AS-i 分岐コネクタ,AS-i_BRANCH_CONNECTOR,21,0423,DFK辞典なし,,,AS-i_BRANCH_CONNECTOR,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,AS-i ネットワークケーブルを分岐させる際に使用する。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",405,カタカナ+英語+ハイフン+スペース,AS-i ブンキコネクタ,A,
2022/5/13,登録しない,5/13,品名推奨LIST,005_117_002_002_019,005,117,002,002,019,,287,R287,SV,5,電気制御部品,制御装置,産業用ネットワーク,AS-i,AS-i ケーブル,,,,,AS-i ケーブル,AS-i_CABLE,10,0287,DFK辞典なし,,,AS-i_CABLE,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,AS-Interfaceバスシステムに使用する専用ケーブル,,,,,,,,,,188,ケーブルアッシー有無,"有,無",,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",405,カタカナ+英語+ハイフン+スペース,AS-i ケーブル,A,
2022/5/13,登録しない,5/13,品名推奨LIST,005_117_002_002_020,005,117,002,002,020,,825,R825,SV,5,電気制御部品,制御装置,産業用ネットワーク,AS-i,AS-i マウンティングベース,,,,,AS-i マウンティングベース,AS-i_MOUNTING_BASE,18,0825,DFK辞典なし,,,AS-i_MOUNTING_BASE,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",405,カタカナ+英語+ハイフン+スペース,AS-i マウンティングベース,A,
2022/5/13,登録しない,5/13,品名推奨LIST,005_117_002_002_021,005,117,002,002,021,,826,R826,SV,5,電気制御部品,制御装置,産業用ネットワーク,AS-i,AS-i用 ソフトウェア,,,,,AS-i用 ソフトウェア,SOFTWARE_FOR_AS-i,17,0826,DFK辞典なし,,,SOFTWARE_FOR_AS-i,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",405,カタカナ+英語+ハイフン+スペース,AS-iヨウ ソフトウェア,A,
2022/5/13,登録しない,5/13,品名推奨LIST,005_117_002_002_022,005,117,002,002,022,,827,R827,SV,5,電気制御部品,制御装置,産業用ネットワーク,AS-i,AS-iケーブルストリッパ,,,,,AS-iケーブルストリッパ,AS-i_CABLE_STRIPPER,19,0827,DFK辞典なし,,,AS-i_CABLE_STRIPPER,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",405,カタカナ+英語+ハイフン,AS-iケーブルストリッパ,A,
2022/4/22,再確定,4/22,品名任意,005_117_002_003,005,117,002,003,,,456,456,SV,4,電気制御部品,制御装置,産業用ネットワーク,PROFIBUS,,,8,,,PROFIBUS,PROFIBUS_PARTS,14,0456,DFK辞典なし,,,PROFIBUS_PARTS,,,,品名,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",456,英語のみ,PROFIBUS,P,
2022/4/4,登録しない,5/18,品名推奨LIST,005_117_002_003_001,005,117,002,003,001,,457,R457,SV,5,電気制御部品,制御装置,産業用ネットワーク,PROFIBUS,バスカプラ,,,,,バスカプラ,BUS_COUPLER,11,0457,DFK辞典なし,,,BUS_COUPLER,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,IOモジュールとPROFIBUS通信のインターフェースとして使用する。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",456,カタカナのみ,バスカプラ,バ,
2022/5/9,登録しない,5/9,品名推奨LIST,005_117_002_003_002,005,117,002,003,002,,458,R458,SV,5,電気制御部品,制御装置,産業用ネットワーク,PROFIBUS,PROFIBUSターミネータ,,,,,PROFIBUSターミネータ,PROFIBUS_TERMINATOR,19,0458,DFK辞典なし,,,PROFIBUS_TERMINATOR,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",456,カタカナ+英語,PROFIBUSターミネータ,P,
2022/4/4,登録しない,5/18,品名推奨LIST,005_117_002_003_003,005,117,002,003,003,,178,R178,SV,5,電気制御部品,制御装置,産業用ネットワーク,PROFIBUS,PN DIモジュール,,,,,PN DIモジュール,PROFINET_DI_MODULE,18,0178,DFK辞典なし,,,PROFINET_DI_MODULE,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,プロフィ―ネット入力モジュール,,,,480,DI点数,"１～７,８～１５,１６～２３,２４～３１,３２～３９,４０～４７,４８～５５,５６～６３,６４～７１,７２～７９,８０以上",408,入力デバイス回路仕様,"NPN,PNP,アナログ",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",456,カタカナ+英語+スペース,PN DIモジュール,P,
2022/5/9,登録しない,5/9,品名推奨LIST,005_117_002_003_004,005,117,002,003,004,,199,R199,SV,5,電気制御部品,制御装置,産業用ネットワーク,PROFIBUS,PNインタフェースモジュール,,,,,PNインタフェースモジュール,PROFINET_INTERFACE_MODULE,25,0199,DFK辞典なし,,,PROFINET_INTERFACE_MODULE,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",456,カタカナ+英語,PNインタフェースモジュール,P,
2022/4/4,登録しない,4/29,品名推奨LIST,005_117_002_003_005,005,117,002,003,005,,202,R202,SV,5,電気制御部品,制御装置,産業用ネットワーク,PROFIBUS,Ethernet Bluetooth インタフェース,,,,,Ethernet Bluetooth インタフェース,ETHERNET_BLUETOOTH_INTERFACE,28,0202,DFK辞典なし,,,ETHERNET_BLUETOOTH_INTERFACE,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",456,カタカナ+英語+スペース,Ethernet Bluetooth インタフェース,E,
2022/5/9,登録しない,5/9,品名推奨LIST,005_117_002_003_006,005,117,002,003,006,,203,R203,SV,5,電気制御部品,制御装置,産業用ネットワーク,PROFIBUS,PROFIBUSケーブルカッタ,,,,,PROFIBUSケーブルカッタ,PROFIBUS_CABLE_CUTTER,21,0203,DFK辞典なし,,,PROFIBUS_CABLE_CUTTER,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",456,カタカナ+英語,PROFIBUSケーブルカッタ,P,
2022/5/9,登録しない,5/9,品名推奨LIST,005_117_002_003_007,005,117,002,003,007,,459,R459,SV,5,電気制御部品,制御装置,産業用ネットワーク,PROFIBUS,PROFIBUSリピータ,,,,,PROFIBUSリピータ,PROFIBUS_REPEATER,17,0459,DFK辞典なし,,,PROFIBUS_REPEATER,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",456,カタカナ+英語,PROFIBUSリピータ,P,
2022/4/4,登録しない,5/18,品名推奨LIST,005_117_002_003_008,005,117,002,003,008,,815,R815,SV,5,電気制御部品,制御装置,産業用ネットワーク,PROFIBUS,PN DOモジュール,,,,,PN DOモジュール,PROFINET_DO_MODULE,18,0815,DFK辞典なし,,,PROFINET_DO_MODULE,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,プロフィ―ネット出力モジュール,,,,481,DO点数,"１～７,８～１５,１６～２３,２４～３１,３２～３９,４０～４７,４８～５５,５６～６３,６４～７１,７２～７９,８０以上",409,出力デバイス回路仕様,"NPN,PNP,接点",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",456,カタカナ+英語+スペース,PN DOモジュール,P,
2022/5/9,登録しない,5/9,品名推奨LIST,005_117_002_003_009,005,117,002,003,009,,1011,R1011,SV,5,電気制御部品,制御装置,産業用ネットワーク,PROFIBUS,PROFIBUS通信モジュール,,,,,PROFIBUS通信モジュール,PROFIBUS_COMMUNICATION_MODULE,29,1011,DFK辞典なし,,,PROFIBUS_COMMUNICATION_MODULE,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,メーカ用語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",456,漢字+カタカナ+英語,PROFIBUSツウシンモジュール,P,
2022/7/8,登録しない,5/26,品名推奨LIST,005_117_002_003_010,005,117,002,003,010,,ID無し,R3005,SV,5,電気制御部品,制御装置,産業用ネットワーク,PROFIBUS,PROFIBUSケーブル,,,,,PROFIBUSケーブル,PROFIBUS_CABLE,14,#VALUE!,DFK辞典なし,,,PROFIBUS_CABLE,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,一般用語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",456,カタカナ+英語,PROFIBUSケーブル,P,
2022/4/22,確定,4/22,品名任意,005_117_002_004,005,117,002,004,,,1648,1648,SV,4,電気制御部品,制御装置,産業用ネットワーク,PROFINET,,,,,,PROFINET,PROFINET,8,1648,DFK辞典なし,,,PROFINET,,,,品名,カタログ購入品,コンテンツセンタ登録なし,,,,一般用語,PROFINET関連機器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",1648,英語のみ,PROFINET,P,
2022/5/13,再確定,5/13,品名任意,005_117_002_004,005,117,002,004,,,819,819,SV,4,電気制御部品,制御装置,産業用ネットワーク,EtherCAT,,,8,,,EtherCAT,EtherCAT,8,0819,DFK辞典なし,,,EtherCAT,,,,品名,カタログ購入品,コンテンツセンタ登録なし,,,,一般用語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",819,英語のみ,EtherCAT,E,
2022/5/13,登録しない,5/13,品名推奨LIST,005_117_002_004_001,005,117,002,004,001,,820,R820,SV,5,電気制御部品,制御装置,産業用ネットワーク,EtherCAT,EtherCAT 通信カプラ,,,,,EtherCAT 通信カプラ,EtherCAT_COMMUNICATION_COUPLER,30,0820,DFK辞典なし,,,EtherCAT_COMMUNICATION_COUPLER,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,一般用語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",819,漢字+カタカナ+英語+スペース,EtherCAT ツウシンカプラ,E,
2022/5/13,登録しない,5/13,品名推奨LIST,005_117_002_004_002,005,117,002,004,002,,821,R821,SV,5,電気制御部品,制御装置,産業用ネットワーク,EtherCAT,EtherCAT EXTENSION,,,,,EtherCAT EXTENSION,EtherCAT_EXTENSION,18,0821,DFK辞典なし,,,EtherCAT_EXTENSION,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,一般用語,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",819,英語+スペース,EtherCAT EXTENSION,E,
2022/5/13,登録しない,5/13,品名推奨LIST,005_117_002_004_003,005,117,002,004,003,,822,R822,SV,5,電気制御部品,制御装置,産業用ネットワーク,EtherCAT,EtherCAT AIターミナル,,,,,EtherCAT AIターミナル,EtherCAT_AI_TERMINAL,20,0822,DFK辞典なし,,,EtherCAT_AI_TERMINAL,,,,品名推奨LIST,カタログ購入品,コンテンツセンタ登録なし,,,,一般用語,ETHERCATネットワークに使用するアナログ入力用のユニット,,,,210,入力チャンネル数,整数値,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,標準定義,"使用可,推奨,用途限定,非推奨",819,カタカナ+英語+スペース,EtherCAT AIターミナル,E,
